code;designation;caracteristique;categorie;unite;prix
YX00008;SY125-8-RESERVOIR-CAPOT-ROUGE/SY125-8??+??-?;1?/?;??;?;12500
YX00015;YBR125-RESERVOIR-ROUGE/ YBR125??-?;1?/?;YBR??;?;14500
YX00016;YBR125-RESERVOIR-NOIRE /YBR125??-?;1?/?;YBR??;?;14500
YX00017;YBR125-RESERVOIR-BLEU /YBR125??-?;1?/?;YBR??;?;14500
YX00021;SY125-10-RESERVOIR+CAPOT-ROUGE/SY125-10??+??-??;1?/?;??;?;12500
YX00022;SY125-10-RESERVOIR+CAPOT-NOIR/SY125-10??+??-?;1?/?;??;?;12000
YX00023;SY125-10-RESERVOIR+CAPOT-BLEU/SY125-10??+??-?;1?/?;??;?;12000
YX00026;CG125 RESERVOIR+CAPOT ROUGE  CG125??+??-?;1?/?;??;?;12000
YX00028;RESERVOIR+CAPOT NOIR CG125??+??-?;1?/?;??;?;12000
YX00055;HJ125-8-RESERVOIR+CAPOT NOIR/HJ125-8??+??-??;1?/?;HJ125-8;?;11000
YX00056;HJ125-8-RESERVOIR+CAPOT RB/ HJ125-8??+??-???;1?/?;HJ125-8;?;11000
YX00058;FLECHE-RESERVOIR ORANGE/FLECHE??-??;1?/?;??;?;21000
YX00065;AP200-RESERVOIR TRELLIS/AP200??-???;1?/?;??;?;17500
YX00067;AP150-20-RESERVOIR BLEU/AP150-20??-?;1?/?;??;?;15000
YX00069;AP175-RESERVOIR/ AP175??-???;1?/?;??;?;16500
YX00073;X-1-RESERVOIR /X-1??-??;4?/?;??;?;4000
YX00074;POWEK RESERVOIR-POWEK/??-???;4?/?;??;?;3500
YX00075;TVS180 RESERVOIR BLANCE /TVS180??-??;1?/?;??;?;23000
YX00077;TVS180-RESERVOIR NOIRE/TVS180??-??;1?/?;??;?;23000
YX00078;AP150-20A-RESERVOIR/AP150-20A??;1?/?;??;?;15000
YX00079;AP150ZK-RESERVOIR??;1?/?;??;?;16000
ZC0001;??/6*4???;1?;??;?;
ZC0002;??/4??????;1?;??;?;
ZC0003;??/8*4???;1?;??;?;
ZC0004;??/6*4???;1?;??;?;
ZC0005;??/?V8???;1?;??;?;
ZC0006;??/12????;1?;??;?;
ZC0007;??/????;1?;??;?;
ZC0008;??/????;1?;??;?;
ZD00001;GN125-PEAU SELLE / GN125???;100?/?;??;?;750
ZD00008;ALOBA-SELLE COMPLET/ ALOBA????;4?/?;??;?;6500
ZD00009;GN125-SCELLE COMPLET/GN125????;8?/?;??;?;6500
ZD00019;GN125-PEAU DE SCELLE(ROUGE)/GN125???-??;100?/?;??;?;721
ZD00031;GN125-PEAU SCELLE/GN125???-????;100?/?;??;?;1100
ZD00035;X-1-SCELLE COMPLET/X-1????;6?/?;??;?;6600
